Names,Address
日産スタジアム,〒222-0036 神奈川県横浜市港北区小机町３３００
等々力陸上競技場,〒211-0052 神奈川県川崎市中原区等々力１－１
大和市大和スポーツセンター競技場,〒242-0029 神奈川県大和市上草柳１－１－１
厚木市荻野運動公園陸上競技場,〒243-0202 神奈川県厚木市中荻野１５００
レモンガススタジアム平塚,〒254-0074 神奈川県平塚市大原１－１
三増公園陸上競技場,〒243-0308 神奈川県愛甲郡愛川町三増１８８６
神奈川県立体育センター陸上競技場,〒251-0871 神奈川県藤沢市善行７－１－２
海老名運動公園陸上競技場,〒243-0424 神奈川県海老名市社家４０３２－１
城山陸上競技場,〒250-0045 神奈川県小田原市城山２丁目２９－１
