Names,Address
太田市新田陸上競技場,〒370-0341 群馬県太田市新田金井町３１
浜川競技場,〒370-0081 群馬県高崎市浜川町１４８６
太田市運動公園陸上競技場,〒373-0817 群馬県太田市飯塚町１０５９
前橋市宮城総合運動場陸上競技場,〒371-0244 群馬県前橋市鼻毛石町２２７０－１
伊勢崎市華蔵寺公園陸上競技場,〒372-0002 群馬県伊勢崎市堤西町１２１
桐生市陸上競技場,〒376-0027 群馬県桐生市元宿町１７－３３
甘楽町陸上競技場,〒370-2213 群馬県甘楽郡甘楽町大字白倉１３４３
